layer,head,sq_diff
17,22,1.218505859375
17,23,1.9493408203125
17,24,1.003662109375
17,25,0.6529541015625
17,26,0.61273193359375
17,27,1.02685546875
17,28,0.505584716796875
17,29,0.53033447265625
17,30,0.9261474609375
17,31,0.88519287109375
18,0,0.98406982421875
18,1,1.3712158203125
18,2,0.69134521484375
18,3,0.5958251953125
18,4,1.287353515625
18,5,0.773895263671875
18,6,0.76904296875
18,7,0.75445556640625
18,8,1.046142578125
18,9,1.37640380859375
18,10,1.54888916015625
18,11,1.0533447265625
18,12,0.86474609375
18,13,0.69989013671875
18,14,0.97882080078125
18,15,1.4010009765625
18,16,0.8843994140625
18,17,0.95849609375
18,18,2.132568359375
18,19,0.9010009765625
18,20,1.4024658203125
18,21,0.88958740234375
18,22,0.56866455078125
18,23,1.067626953125
18,24,0.744140625
18,25,0.869873046875
18,26,0.98016357421875
18,27,0.63372802734375
18,28,0.55694580078125
18,29,0.6832275390625
18,30,1.6893310546875
18,31,2.5540771484375
19,0,1.114013671875
19,1,0.984130859375
19,2,1.85400390625
19,3,1.1787109375
19,4,2.06610107421875
19,5,1.298095703125
19,6,1.6741943359375
19,7,2.646240234375
19,8,1.7596435546875
19,9,2.0849609375
19,10,2.325927734375
19,11,0.9716796875
19,12,1.841064453125
19,13,1.1236572265625
19,14,2.1585693359375
19,15,1.5928955078125
19,16,2.126220703125
19,17,1.885498046875
19,18,1.1995849609375
19,19,1.8551025390625
19,20,1.9320068359375
19,21,1.150390625
19,22,1.888427734375
19,23,1.7742919921875
19,24,0.914306640625
19,25,2.6119384765625
19,26,1.4031982421875
19,27,1.13861083984375
19,28,1.727783203125
19,29,1.0343017578125
19,30,1.316162109375
19,31,1.3912353515625
20,0,5.4248046875
20,1,4.54736328125
20,2,2.465576171875
20,3,3.435791015625
20,4,2.3865966796875
20,5,2.25341796875
20,6,2.1583251953125
20,7,3.1953125
20,8,2.41357421875
20,9,1.6134033203125
20,10,2.32861328125
20,11,2.340087890625
20,12,2.4642333984375
20,13,2.0062255859375
20,14,2.0419921875
20,15,3.9471435546875
20,16,2.7080078125
20,17,3.03369140625
20,18,1.9989013671875
20,19,1.82275390625
20,20,2.0927734375
20,21,2.0369873046875
20,22,1.537109375
20,23,1.874755859375
20,24,2.119384765625
20,25,1.890869140625
20,26,2.6669921875
20,27,2.1494140625
20,28,3.347900390625
20,29,2.92431640625
20,30,4.236572265625
20,31,3.15576171875
21,0,3.069091796875
21,1,9.25390625
21,2,4.014404296875
21,3,3.00537109375
21,4,3.89111328125
21,5,5.85498046875
21,6,4.697265625
21,7,3.64306640625
21,8,4.29541015625
21,9,6.115478515625
21,10,5.1083984375
21,11,3.718017578125
21,12,3.08056640625
21,13,4.332275390625
21,14,3.9461669921875
21,15,3.341064453125
21,16,5.62255859375
21,17,3.3795166015625
21,18,5.259033203125
21,19,2.840576171875
21,20,4.026123046875
21,21,3.248046875
21,22,3.891845703125
21,23,4.41796875
21,24,4.1552734375
21,25,3.804931640625
21,26,6.148681640625
21,27,4.875
21,28,4.105712890625
21,29,3.849365234375
21,30,6.09619140625
21,31,3.907470703125
22,0,5.3916015625
22,1,5.201171875
22,2,4.332275390625
22,3,4.9306640625
22,4,4.8470458984375
22,5,4.796142578125
22,6,9.107421875
22,7,4.69287109375
22,8,6.14599609375
22,9,5.587890625
22,10,5.701904296875
22,11,5.7198486328125
22,12,4.9287109375
22,13,5.09765625
22,14,5.45849609375
22,15,6.17529296875
22,16,7.00390625
22,17,4.65234375
22,18,7.88623046875
22,19,6.927734375
22,20,6.6142578125
22,21,4.535888671875
22,22,5.91015625
22,23,5.79443359375
22,24,10.1240234375
22,25,6.489501953125
22,26,4.921875
22,27,5.76806640625
22,28,6.0380859375
22,29,7.83251953125
22,30,12.0986328125
22,31,5.43408203125
23,0,7.9150390625
23,1,11.435546875
23,2,10.24072265625
23,3,7.54443359375
23,4,7.619384765625
23,5,7.8251953125
23,6,17.2685546875
23,7,8.1533203125
23,8,9.0322265625
23,9,11.62890625
23,10,6.50439453125
23,11,10.45556640625
23,12,7.2724609375
23,13,8.96728515625
23,14,10.8896484375
23,15,7.9267578125
23,16,7.90576171875
23,17,10.216796875
23,18,5.057861328125
23,19,6.70849609375
23,20,10.9853515625
23,21,8.30859375
23,22,10.51318359375
23,23,11.673828125
23,24,13.16015625
23,25,9.0234375
23,26,8.787109375
23,27,9.71923828125
23,28,8.84375
23,29,11.43212890625
23,30,7.91015625
23,31,9.66845703125
24,0,12.5673828125
24,1,13.547607421875
24,2,11.646484375
24,3,19.5556640625
24,4,11.16650390625
24,5,9.9169921875
24,6,12.57080078125
24,7,8.18701171875
24,8,18.0185546875
24,9,12.5146484375
24,10,10.04345703125
24,11,12.318359375
24,12,9.845703125
